Particulars,Relevant Date
Shares issued for cash,From date of cash receivable
Shares issued for acquiring F.A.,"From the date asset is recognised "
"Shares issued for conversion of Debentures / Pref Shares ",
Shares issued for settling a liability,From date settlement becomes effective
"Bonus issue , Stock split, Reverse Split","Always from the beginning of earliest reporting period "
Right Issue,
- Paid Part,From the date of cash receipt
- Bonus Part,"Always from the beginning of earliest reporting period "
Shares issued as part of P.C.,
- Merger,beginning of Current Year
- Purchase,From D.O.A
